"""Цима 99"" ООД, Стряма ","Конфитюр с парченца плод, Къпина","Jam with pieces of fruit, blackberry",360 g.,20.00,3800040800373,HONEY/ JAM,,,
"""Цима 99"" ООД, Стряма ","Конфитюр с парченца плод, Малина","Jam with pieces of fruit, raspberry",360 g.,20.00,3800040800373,HONEY/ JAM,,,
"""Цима 99"" ООД, Стряма ","Rose Jam, Конфитюр от рози",Rose jam,220 g.,18.00,3800040802544,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр от Рози,Rose Petals Jam,230g.,18.00,3800030270902,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр от Зелени смокини,Green figs Jam,360g,22.00,3800030231712,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр от Вишни,Morello cherries Jam,360g,22.00,3800030230913,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр от Зелени Орехи,Green Walnut Jam,360g,22.00,3800030231316,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр от Бели Череши,White cherry Jam,360g,22.00,3800030231217,HONEY/ JAM,,,
"""Джем и Джем""",Боров елексир със шишарка,Pine elixir ,400g,20.00,3800030240141,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр за диабетици от Боровинка,Blueberry Diabetic Jam ,340g,18.00,3800030261610,HONEY/ JAM,,,
"""Джем и Джем""",Конфитюр за диабетици от Ягода,Strawberry Diabetic Jam ,340g,18.00,3800030261115,HONEY/ JAM,,,
"""Дионел"" ООД, Пловдив",Желатин,Gelatin,10 g.,3.00,3800057104150,SPICES,,,
Д-р Йоткер България ЕООД (вносител),Консервант,Preservative,7 g,3.00,5941132000948,SPICES,,,
"""Дионел"" ООД, Пловдив",Дафинов лист,Bay leaf,5 g.,15.00,3800057103320,SPICES,,,
"""Дионел"" ООД, Пловдив",Черен пипер,Black pepper,10 g.,3.00,3800057101210,SPICES,,,
"""Радиком"" ЕООД, Пловдив",Градинска Ронена Чубрица,Savory garden ronen,50 g.,15.00,3800069601456,SPICES,,,
Д-р Йоткер България ЕООД (вносител),"Pikant fix, сладко-кисела смес за туршии","Sweet-sour mixture of pickles ""Pikant fix""",100 g.,9.00,5941132000979,SPICES,,,
